event_date,country_id,network_id,client_id,value_usd
04/01/2022,213,60,184,2.475000024
04/01/2022,213,60,219,0.900000013
05/01/2022,1,10,94,227.9999971
05/01/2022,1,10,104,0.800000012
05/01/2022,1,10,121,2.019999981
05/01/2022,1,10,174,1.299999952
05/01/2022,1,60,71,15.50099945
05/01/2022,1,60,94,150.7430024
05/01/2022,1,60,95,3
05/01/2022,1,60,97,0.632000029
05/01/2022,1,60,104,11.21999991
05/01/2022,1,60,121,29.24399966
05/01/2022,1,60,122,1.200000048
05/01/2022,1,60,152,3.378999949
05/01/2022,1,60,154,0.698000014
05/01/2022,1,60,174,150.4529965
05/01/2022,1,60,183,1.39199996
05/01/2022,1,60,184,3.389000118
05/01/2022,1,60,189,23.85799992
05/01/2022,1,60,219,10.22800004
05/01/2022,17,10,71,1.720000029
05/01/2022,17,10,73,0.540000021
05/01/2022,109,10,71,1.800000072
05/01/2022,109,10,73,1.819999933
05/01/2022,109,10,104,7.98999998
05/01/2022,109,10,121,0.319999993
05/01/2022,109,10,174,19.75999975
05/01/2022,109,60,71,0.600000024
05/01/2022,109,60,94,0.766000003
05/01/2022,109,60,97,1.23499997
05/01/2022,109,60,121,10.27100018
05/01/2022,109,60,154,0.129999995
05/01/2022,109,60,174,38.38799968
05/01/2022,109,60,184,3.668000042
05/01/2022,109,60,189,1.704999998
05/01/2022,109,60,219,0.100000001
05/01/2022,213,60,184,2.370000005
05/01/2022,213,60,219,2.00000003
06/01/2022,1,10,94,130.6999991
06/01/2022,1,10,95,2
06/01/2022,1,10,121,4.039999962
06/01/2022,1,10,189,6.150000095
06/01/2022,1,60,71,12.171
06/01/2022,1,60,94,153.3640018
06/01/2022,1,60,95,3
06/01/2022,1,60,97,1.264000058
06/01/2022,1,60,104,10.5999999
06/01/2022,1,60,121,41.30499959
06/01/2022,1,60,122,1.200000048
06/01/2022,1,60,152,3.378999949
06/01/2022,1,60,154,0.698000014
06/01/2022,1,60,174,133.4319968
06/01/2022,1,60,184,5.949000016
06/01/2022,1,60,189,21.19800043
06/01/2022,1,60,219,1.074000001
06/01/2022,17,10,71,0.860000014
06/01/2022,17,60,71,0.300000012
06/01/2022,109,10,71,1.50000006
06/01/2022,109,10,73,1.299999952
06/01/2022,109,10,94,0.239999995
06/01/2022,109,10,104,8.720000118
06/01/2022,109,10,174,8.049999893
06/01/2022,109,60,94,0.314999998
06/01/2022,109,60,97,9.138999775
06/01/2022,109,60,121,10.48900002
06/01/2022,109,60,174,23.14999986
06/01/2022,109,60,184,4.33100006
06/01/2022,109,60,189,0.469999999
06/01/2022,109,60,219,0.100000001
06/01/2022,213,60,184,3.877000034
06/01/2022,213,60,219,1.100000016
07/01/2022,1,10,71,4.679999828
07/01/2022,1,10,94,47.33999991
07/01/2022,1,10,121,4.039999962
07/01/2022,1,10,189,4.920000076
07/01/2022,1,60,71,13.84499931
07/01/2022,1,60,94,125.3639989
07/01/2022,1,60,97,0.632000029
07/01/2022,1,60,104,19.01699924
07/01/2022,1,60,121,29.21600056
07/01/2022,1,60,152,5.378999949
07/01/2022,1,60,174,76.97899854
07/01/2022,1,60,184,0.377000004
07/01/2022,1,60,189,12.55000019
07/01/2022,1,60,219,6.074000001
07/01/2022,109,10,71,1.200000048
07/01/2022,109,10,73,1.299999952
07/01/2022,109,10,94,0.479999989
07/01/2022,109,10,104,15.1900003
07/01/2022,109,10,174,2.559999943
07/01/2022,109,10,184,0.200000003
07/01/2022,109,60,94,0.314999998
07/01/2022,109,60,97,8.891999781
07/01/2022,109,60,121,12.10399982
07/01/2022,109,60,154,0.129999995
07/01/2022,109,60,174,14.90900003
07/01/2022,109,60,184,4.16200006
07/01/2022,109,60,189,0.469999999
07/01/2022,109,60,219,1.700000025
07/01/2022,213,60,184,0.842999995
07/01/2022,213,60,189,0.300000012
07/01/2022,213,60,219,1.900000028
08/01/2022,1,10,71,3.119999886
08/01/2022,1,10,94,84.74000001
08/01/2022,1,10,95,2
08/01/2022,1,10,174,1.299999952
08/01/2022,1,10,189,8.610000134
08/01/2022,1,60,71,3.671000004
08/01/2022,1,60,73,0.540000021
08/01/2022,1,60,94,123.9279995
08/01/2022,1,60,95,1.5
08/01/2022,1,60,97,1.372000039
08/01/2022,1,60,104,18.27299953
08/01/2022,1,60,121,25.82400036
08/01/2022,1,60,174,104.2069982
08/01/2022,1,60,183,1.39199996
08/01/2022,1,60,184,0.377000004
08/01/2022,1,60,189,20.89600062
08/01/2022,1,60,219,5.370000005
08/01/2022,17,60,71,0.654999971
08/01/2022,109,10,71,1.200000048
08/01/2022,109,10,73,1.559999943
08/01/2022,109,10,104,16.64000031
08/01/2022,109,10,174,1.659999967
08/01/2022,109,10,189,0.25
08/01/2022,109,60,71,0.300000012
08/01/2022,109,60,73,0.100000001
08/01/2022,109,60,94,0.357999995
08/01/2022,109,60,95,0.200000003
08/01/2022,109,60,97,7.903999805
08/01/2022,109,60,121,14.15499979
08/01/2022,109,60,154,0.129999995
08/01/2022,109,60,174,10.94700002
08/01/2022,109,60,184,2.583000034
08/01/2022,109,60,189,0.929999992
08/01/2022,109,60,219,0.500000007
08/01/2022,213,60,184,2.180000007
08/01/2022,213,60,219,2.300000034
09/01/2022,1,10,71,4.679999828
09/01/2022,1,10,94,101.8000002
09/01/2022,1,10,121,2.019999981
09/01/2022,1,10,189,2.460000038
09/01/2022,1,60,71,4.614999771
09/01/2022,1,60,73,1.080000043
09/01/2022,1,60,94,131.1099992
09/01/2022,1,60,95,1.5
09/01/2022,1,60,97,3.268000126
09/01/2022,1,60,104,12.30599964
09/01/2022,1,60,121,23.51800013
09/01/2022,1,60,154,0.698000014
09/01/2022,1,60,174,121.2939979
09/01/2022,1,60,184,1.126000017
09/01/2022,1,60,189,22.63700032
09/01/2022,1,60,219,4.701999903
09/01/2022,17,60,71,0.654999971
09/01/2022,109,10,71,1.50000006
09/01/2022,109,10,73,1.299999952
09/01/2022,109,10,97,0.460000008
09/01/2022,109,10,104,16.6200003
09/01/2022,109,10,174,0.449999988
09/01/2022,109,10,189,0.5
09/01/2022,109,60,71,1.50000006
09/01/2022,109,60,73,0.100000001
09/01/2022,109,60,94,0.425999999
09/01/2022,109,60,95,0.200000003
09/01/2022,109,60,97,12.3499997
09/01/2022,109,60,121,10.53099981
09/01/2022,109,60,174,13.02900003
09/01/2022,109,60,184,8.66200012
09/01/2022,109,60,189,1.469999999
09/01/2022,109,60,219,0.400000006
09/01/2022,213,60,184,1.944999993
09/01/2022,213,60,219,1.200000018
10/01/2022,1,10,71,3.119999886
10/01/2022,1,10,94,78.5400002
10/01/2022,1,10,104,0.800000012
10/01/2022,1,10,121,6.059999943
10/01/2022,1,10,189,2.460000038
10/01/2022,1,60,71,40.51599979
10/01/2022,1,60,73,0.540000021
10/01/2022,1,60,94,112.0999994
10/01/2022,1,60,95,1.5
10/01/2022,1,60,104,24.98399913
10/01/2022,1,60,121,9.826000094
10/01/2022,1,60,174,119.3329978
10/01/2022,1,60,184,2.568000078
10/01/2022,1,60,189,13.8150003
10/01/2022,1,60,219,3.750000119
10/01/2022,109,10,73,0.779999971
10/01/2022,109,10,104,11.27000022
10/01/2022,109,10,121,0.319999993
10/01/2022,109,10,174,1.349999964
10/01/2022,109,10,184,0.200000003
10/01/2022,109,60,94,0.213
10/01/2022,109,60,95,0.400000006
10/01/2022,109,60,97,5.433999866
10/01/2022,109,60,121,8.884999841
10/01/2022,109,60,154,0.129999995
10/01/2022,109,60,174,14.58100004
10/01/2022,109,60,184,6.248000085
10/01/2022,109,60,189,1
